Content,Author,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Tweets Count,Author Following Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude
string,discrete,time,in zxx qme,discrete,continuous,continuous,discrete,discrete,string,continuous,continuous,continuous,continuous,discrete,continuous,continuous
meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta,meta
06.11 Situasi arus lalu lintas di Jl. MT Haryono Jaktim menuju arah Pancoran terpantau ramai lancar. https://t.co/aFF4KJStWl,@TMCPoldaMetro,2022-06-26 23:11:28,in,,5.0,1.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
06.04 Situasi arus lalu lintas di Traffic Light Rindam Jl. TB Simatupang Jaktim terpantau ramai lancar. https://t.co/DhJyOb3nDo,@TMCPoldaMetro,2022-06-26 23:04:56,in,,4.0,0.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
"LOKASI PELAYANAN #SIMKELILING Senin, 27 Juni 2022 Pukul 08.00 s/d 14.00 Wib :
Jaktim : Mall Grand Cakung. 
Jaksel  : Kampus Trilogi Kalibata.
Jakbar : LTC Glodok &amp; Mall Citraland.
Jakpus : Kantor Pos Lapangan Banteng. https://t.co/c6164I0OU8",@TMCPoldaMetro,2022-06-26 22:50:00,in,,4.0,4.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
05.32 Situasi arus lalu lintas di Traffic Light Slipi Jakbar terpantau lancar. https://t.co/j6c5DyFTH8,@TMCPoldaMetro,2022-06-26 22:32:32,in,,7.0,1.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
"Apabila mengantuk beristirahatlah segera, jangan paksakan berkendara. Keselamatan ANDA adalah yang UTAMA.
https://t.co/hkOanI7VlQ",@TMCPoldaMetro,2022-06-26 16:43:33,in,,11.0,1.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
21.31 Situasi arus lalu lintas di Traffic light Asia Afrika Senayan terpantau ramai lancar. https://t.co/PP5USZnp3t,@TMCPoldaMetro,2022-06-26 14:31:32,in,,9.0,1.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
21.22 Situasi arus lalu lintas di Traffic light Fatmawati Jaksel menuju arah Pondok Labu/Ragunan terpantau lancar. https://t.co/l8WivOsNrm,@TMCPoldaMetro,2022-06-26 14:23:02,in,,8.0,0.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
Bagi Pesepeda diimbau agar menggunakan lampu tambahan di malam hari utk mencegah kecelakaan lalu lintas. https://t.co/Hq0gNG0Z,@TMCPoldaMetro,2022-06-26 13:17:58,in,,5.0,0.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
18.53 Situasi arus lalu lintas terkini di Tol Pelabuhan Ancol menuju Pluit / Bandara dan sebaliknya menuju Ancol dan Pelabuhan Tj. Priok terpantau lancar. https://t.co/pNfSCXQqNe,@TMCPoldaMetro,2022-06-26 11:53:31,in,,4.0,0.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
17.09 Terjadi kebakaran di Jl Cempaka Sari V Kemayoran Jakarta Pusat. Sudah dlm proses pemadaman oleh Petugas DPK. https://t.co/46kGQCUjFT,@TMCPoldaMetro,2022-06-26 10:22:08,in,,25.0,6.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
"15.48 Dir Lantas Polda Metro Jaya Kombes. Pol. Dr. Sambodo Purnomo Yogo, S.I.K., M.T.C.P. menghadiri Pelaksanaan Lomba PBB SMA/SMK Se-Drajat Wilayah Polda Metro Jaya dalam rangka memperingati Hari Bhayangkara Ke-76 Tahun 2022 di Lapangan Presisi Polda Metro Jaya. https://t.co/VzCV8pL186",@TMCPoldaMetro,2022-06-26 10:17:38,in,,11.0,1.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
Jadilah pelopor keselamatan berlalu lintas &amp; budayakan keselamatan sebagai kebutuhan. https://t.co/9yBMU9fE,@TMCPoldaMetro,2022-06-26 07:47:05,in,,8.0,2.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
"Bagi Pengendara, hormati pengguna jalan lain dengan tidak menghisap Rokok sembari berkendara.https://t.co/X23PJ5gS1q",@TMCPoldaMetro,2022-06-26 07:38:21,in,,33.0,8.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
"14.50 Polri Sat Lantas Jakbar melaksanakan pembagian masker dalam rangka Ops Kepolisian Patuh Jaya 2022 di TL Tomang.
#OpsKepolisianPatuhJaya2022 https://t.co/QHGpwbbiL9",@TMCPoldaMetro,2022-06-26 07:32:51,in,,5.0,0.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
"14.24 Polri Sat Lantas Jakpus pengaturan Jl Benyamin Sueb Kemayoran Jakpus, situasi arus lalu lintas terkini terpantau lancar. https://t.co/8in3H02DJd",@TMCPoldaMetro,2022-06-26 07:29:59,in,,6.0,1.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
14.14 Situasi arus lalu lintas terkini di dpn Pintu Utama Taman Margasatwa Ragunan terpantau ramai lancar. https://t.co/RfTUnykxQQ,@TMCPoldaMetro,2022-06-26 07:25:35,in,,8.0,0.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
07.56 #Polri Sat Gatur Dit Lantas PMJ Penutupan arus lalu lintas didpn GKBI arah HI kegiatan HBKB ( Hari Bebas Kendaraan Bermotor ) mulai pukul 06.00 Wib s/d 10.00 Wib. https://t.co/xuCzpDDPG4,@TMCPoldaMetro,2022-06-26 00:57:05,in,,11.0,2.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
07.53 #Polri Sat Gatur Dit Lantas PMJ pengamanan &amp; pengaturan kegiatan HBKB ( Hari Bebas Kendaraan Bermotor ) di Teluk Betung Jakpus mulai pukul 06.00 Wib s/d 10.00 Wib. https://t.co/jXqx8ztjf3,@TMCPoldaMetro,2022-06-26 00:53:20,in,,4.0,2.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
"07.45 #Polri Sat Gatur Dit Lantas PMJ, Dishub pengamanan &amp; pengaturan kegiatan HBKB ( Hari Bebas Kendaraan Bermotor ) di Bundaran HI Jakpus mulai pukul 06.00 Wib s/d 10.00 Wib. https://t.co/LyMnKOTCZD",@TMCPoldaMetro,2022-06-26 00:45:11,in,,12.0,2.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
"07.37 #Polri Sat Gatur Dit Lantas PMJ, Dishub pengamanan &amp; pengaturan kegiatan HBKB ( Hari Bebas Kendaraan Bermotor ) di Bundaran Patung Kuda Indosat Jakpus mulai pukul 06.00 Wib s/d 10.00 Wib. https://t.co/oQrMtKGFoX",@TMCPoldaMetro,2022-06-26 00:38:01,in,,4.0,2.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
"07.33 #Polri Sat Lantas Jaktim, Dishub &amp; Sat Pol PP pengamanan &amp; pengaturan kegiatan HBKB ( Hari Bebas Kendaraan Bermotor ) di Jl. Pemuda Rawamangun Jaktim mulai dari Traffic Light Arion s/d Traffic Light Tugas mulai pukul 06.00 Wib s/d 10.00 Wib. https://t.co/FszaVYi7wc",@TMCPoldaMetro,2022-06-26 00:33:49,in,,6.0,3.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
"06.36 LOKASI PELAYANAN #SIMKELILING MINGGU, 26 Juni 2022 Pukul 07.00 s/d 12.00 Wib :
Jaktim : Jl Raden Inten samping Mcd Duren Sawit Jaktim.
Jakbar : Jl Panjang depan Bank BJB Kebon Jeruk Jakbar. https://t.co/D2R7qCFOnN",@TMCPoldaMetro,2022-06-25 23:36:25,in,,5.0,1.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
"Cek kembali apakah pagar, pintu &amp; jendela rumah sudah terkunci dengan baik sebelum beranjak istirahat malam hari ini. https://t.co/PdsWAG5J0M",@TMCPoldaMetro,2022-06-25 17:07:00,in,,12.0,3.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
https://t.co/4rL5QIDghg,@TMCPoldaMetro,2022-06-25 16:04:34,zxx,,11.0,0.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
22.12 Imbas bubaran pengunjung PRJ Kemayoran lalu lintas di Pintu 6 A PRJ Kemayoran Jakpus terpantau padat https://t.co/G6dQsllI59,@TMCPoldaMetro,2022-06-25 15:12:36,in,,15.0,2.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
"22.08 Imbas proyek perbaikan Halte TransJakarta Cikoko Stasiun Cawang Jl. MT Haryono Jaksel depan Menara Saidah arah Pancoran, lalu lintas tersendat https://t.co/aXbHLzkAoq",@TMCPoldaMetro,2022-06-25 15:11:13,in,,7.0,0.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
21.59 Situasi arus lalu lintas Gerbang Tol Ancol Timur terpantau lancar https://t.co/56qaqWkZu3,@TMCPoldaMetro,2022-06-25 14:59:20,in,,5.0,0.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
https://t.co/austSuOZc9,@TMCPoldaMetro,2022-06-25 14:13:21,zxx,,20.0,0.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
20.18 Situasi arus lalu lintas Traffic Light Kebon Sirih Jakarta Pusat terpantau ramai lancar https://t.co/6eSy1oE8u7,@TMCPoldaMetro,2022-06-25 13:17:44,in,,3.0,0.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
20.05 Situasi arus lalu lintas Traffic Light Fatmawati Jakarta Selatan terpantau lancar https://t.co/GMNn3wSS2N,@TMCPoldaMetro,2022-06-25 13:04:42,in,,4.0,0.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
Bagi Pesepeda diimbau agar menggunakan lampu tambahan di malam hari utk mencegah kecelakaan lalu lintas. https://t.co/Hq0gNG0Z,@TMCPoldaMetro,2022-06-25 11:24:12,in,,11.0,2.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
https://t.co/2nEnlkTLiF,@TMCPoldaMetro,2022-06-25 11:05:00,zxx,,11.0,2.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
17.30 Situasi arus lalu lintas di Gerbang Tol Pondok Pinang terpantau ramai lancar. https://t.co/NIADhff996,@TMCPoldaMetro,2022-06-25 10:30:15,in,,4.0,1.0,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,588150.0,0.0,8077926.0,9339.0,True,,
